[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	10	
Set up model	
Got params and grads	
Starting Validation accuracy	0.011744355426074	
L1 norm of params:	1075599.0916422	
Epoch 1 Validation accuracy:	0.65172068463219	
L1 norm of params:	1099269.9520866	
Epoch 2 Validation accuracy:	0.667319130857	
L1 norm of params:	1116376.8438314	
Epoch 3 Validation accuracy:	0.66665149308084	
L1 norm of params:	1130359.2731983	
Epoch 4 Validation accuracy:	0.65136410536538	
L1 norm of params:	1143038.8960808	
Epoch 5 Validation accuracy:	0.65758527555232	
L1 norm of params:	1155118.9699623	
Epoch 6 Validation accuracy:	0.65838188880796	
L1 norm of params:	1166728.1079349	
Epoch 7 Validation accuracy:	0.65275248846807	
L1 norm of params:	1176993.6317466	
Epoch 8 Validation accuracy:	0.65731215100753	
L1 norm of params:	1186047.9591838	
Epoch 9 Validation accuracy:	0.66194009468318	
L1 norm of params:	1194439.5040671	
Epoch 10 Validation accuracy:	0.6572211094926	
L1 norm of params:	1203077.5379212	
Epoch 11 Validation accuracy:	0.66275946831755	
L1 norm of params:	1211231.8137071	
Epoch 12 Validation accuracy:	0.65661416605972	
L1 norm of params:	1219244.517594	
Epoch 13 Validation accuracy:	0.66057447195921	
L1 norm of params:	1227753.6773453	
Epoch 14 Validation accuracy:	0.65920884923525	
L1 norm of params:	1238169.7080715	
Epoch 15 Validation accuracy:	0.6525628186453	
L1 norm of params:	1247213.6632864	
Epoch 16 Validation accuracy:	0.6517282714251	
L1 norm of params:	1252959.7389187	
Epoch 17 Validation accuracy:	0.65936817188638	
L1 norm of params:	1259321.5808668	
Epoch 18 Validation accuracy:	0.66026341344987	
L1 norm of params:	1266073.5520083	
Epoch 19 Validation accuracy:	0.66060481913086	
L1 norm of params:	1275569.9547786	
Epoch 20 Validation accuracy:	0.6561817188638	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	10	Embedding size:	50	
0.6561817188638	
