[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	200	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	200	
Set up model	
Got params and grads	
Starting Validation accuracy	0.020711944646759	
L1 norm of params:	1077374.9470824	
Epoch 1 Validation accuracy:	0.63260196649672	
L1 norm of params:	5143548.4059516	
Epoch 2 Validation accuracy:	0.67491351056082	
L1 norm of params:	7652899.7652875	
Epoch 3 Validation accuracy:	0.66629491381403	
L1 norm of params:	9737602.503034	
Epoch 4 Validation accuracy:	0.68858491138626	
L1 norm of params:	11646262.476448	
Epoch 5 Validation accuracy:	0.69900157805293	
L1 norm of params:	13655320.168477	
Epoch 6 Validation accuracy:	0.71786234522942	
L1 norm of params:	15609493.653017	
Epoch 7 Validation accuracy:	0.71230881281865	
L1 norm of params:	17328151.84869	
Epoch 8 Validation accuracy:	0.73083576110706	
L1 norm of params:	18895917.270422	
Epoch 9 Validation accuracy:	0.72825625151736	
L1 norm of params:	20470532.933719	
Epoch 10 Validation accuracy:	0.73036537994659	
L1 norm of params:	21971092.358086	
Epoch 11 Validation accuracy:	0.70035202719107	
L1 norm of params:	23596824.505607	
Epoch 12 Validation accuracy:	0.71729333576111	
L1 norm of params:	25049989.305425	
Epoch 13 Validation accuracy:	0.73028192522457	
L1 norm of params:	26445443.220265	
Epoch 14 Validation accuracy:	0.72921977421704	
L1 norm of params:	27890889.118784	
Epoch 15 Validation accuracy:	0.71267297887837	
L1 norm of params:	29185130.11287	
Epoch 16 Validation accuracy:	0.7380280407866	
L1 norm of params:	30278079.929853	
Epoch 17 Validation accuracy:	0.74927166788055	
L1 norm of params:	31316092.030198	
Epoch 18 Validation accuracy:	0.73402221412964	
L1 norm of params:	32480010.378342	
Epoch 19 Validation accuracy:	0.73924951444525	
L1 norm of params:	33596967.253854	
Epoch 20 Validation accuracy:	0.72069221898519	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/PTB.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	200	Embedding size:	50	
0.72069221898519	
