[?1034hDatafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-40000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	25	Embedding size:	50	
nclasses:	45	nsparsefeatures:	40000	ndensefeatures:	12	
Imported all data	
Making neural network model 2	
50	3	25	
Set up model	
Got params and grads	
Starting Validation accuracy	0.03857884195193	
L1 norm of params:	1075756.1537356	
Epoch 1 Validation accuracy:	0.84572256615683	
L1 norm of params:	1162932.095756	
Epoch 2 Validation accuracy:	0.8602436877883	
L1 norm of params:	1188361.5372014	
Epoch 3 Validation accuracy:	0.86930990531682	
L1 norm of params:	1211450.3987062	
Epoch 4 Validation accuracy:	0.87440064336004	
L1 norm of params:	1224255.4485866	
Epoch 5 Validation accuracy:	0.88402828356397	
L1 norm of params:	1236527.8476761	
Epoch 6 Validation accuracy:	0.87204873755766	
L1 norm of params:	1258121.3215685	
Epoch 7 Validation accuracy:	0.87801195678563	
L1 norm of params:	1282854.6549934	
Epoch 8 Validation accuracy:	0.87735190580238	
L1 norm of params:	1293874.7362075	
Epoch 9 Validation accuracy:	0.87674496236951	
L1 norm of params:	1307876.2171628	
Epoch 10 Validation accuracy:	0.87705602087885	
L1 norm of params:	1310551.0699172	
Epoch 11 Validation accuracy:	0.8798024399126	
L1 norm of params:	1322105.9029088	
Epoch 12 Validation accuracy:	0.88402069677106	
L1 norm of params:	1331269.9783071	
Epoch 13 Validation accuracy:	0.88206330420005	
L1 norm of params:	1340854.8522113	
Epoch 14 Validation accuracy:	0.88244264384559	
L1 norm of params:	1354992.0585671	
Epoch 15 Validation accuracy:	0.88023488710852	
L1 norm of params:	1362754.9165094	
Epoch 16 Validation accuracy:	0.87636562272396	
L1 norm of params:	1375245.1814696	
Epoch 17 Validation accuracy:	0.88544701383831	
L1 norm of params:	1385837.5517859	
Epoch 18 Validation accuracy:	0.89406561058509	
L1 norm of params:	1396462.9091305	
Epoch 19 Validation accuracy:	0.88769270453994	
L1 norm of params:	1408467.2698298	
Epoch 20 Validation accuracy:	0.87795884923525	
Options and accuracy	
Datafile:	/n/home09/ankitgupta/CS287/CS287assignments/HW2/2014-vocab-40000/PTB_3.hdf5	Classifier:	nnpre	Alpha:	0	Eta:	0.1	Lambda:	0	Minibatch size:	128	Num Epochs:	20	Optimizer:	adagrad	Hidden Layers:	25	Embedding size:	50	
0.87795884923525	
